,adjclose,close,date,high,low,open,volume
268,16.34000015258789,16.34000015258789,2018-05-07,16.989999771118164,16.030000686645508,16.850000381469727,183600.0
269,16.75,16.75,2018-05-04,16.979999542236328,16.510000228881836,16.75,152000.0
270,16.649999618530273,16.649999618530273,2018-05-03,20.479999542236328,16.209999084472656,19.0,837900.0
271,,,2018-05-02,,,,
272,,,2018-05-01,,,,
273,,,2018-04-30,,,,
274,,,2018-04-27,,,,
275,,,2018-04-26,,,,
276,,,2018-04-25,,,,
277,,,2018-04-24,,,,
278,,,2018-04-23,,,,
279,,,2018-04-20,,,,
280,,,2018-04-19,,,,
281,,,2018-04-18,,,,
282,,,2018-04-17,,,,
283,,,2018-04-16,,,,
284,,,2018-04-13,,,,
285,,,2018-04-12,,,,
286,,,2018-04-11,,,,
287,,,2018-04-10,,,,
288,,,2018-04-09,,,,
289,,,2018-04-06,,,,
290,,,2018-04-05,,,,
291,,,2018-04-04,,,,
292,,,2018-04-03,,,,
293,,,2018-04-02,,,,
294,,,2018-03-29,,,,
295,,,2018-03-28,,,,
296,,,2018-03-27,,,,
297,,,2018-03-26,,,,
298,,,2018-03-23,,,,
299,,,2018-03-22,,,,
300,,,2018-03-21,,,,
301,,,2018-03-20,,,,
302,,,2018-03-19,,,,
303,,,2018-03-16,,,,
304,,,2018-03-15,,,,
305,,,2018-03-14,,,,
306,,,2018-03-13,,,,
307,,,2018-03-12,,,,
308,,,2018-03-09,,,,
309,,,2018-03-08,,,,
310,,,2018-03-07,,,,
311,,,2018-03-06,,,,
312,,,2018-03-05,,,,
313,,,2018-03-02,,,,
314,,,2018-03-01,,,,
315,,,2018-02-28,,,,
316,,,2018-02-27,,,,
317,,,2018-02-26,,,,
318,,,2018-02-23,,,,
319,,,2018-02-22,,,,
320,,,2018-02-21,,,,
321,,,2018-02-20,,,,
322,,,2018-02-16,,,,
323,,,2018-02-15,,,,
324,,,2018-02-14,,,,
325,,,2018-02-13,,,,
326,,,2018-02-12,,,,
327,,,2018-02-09,,,,
328,,,2018-02-08,,,,
329,,,2018-02-07,,,,
330,,,2018-02-06,,,,
331,,,2018-02-05,,,,
332,,,2018-02-02,,,,
333,,,2018-02-01,,,,
334,,,2018-01-31,,,,
335,,,2018-01-30,,,,
336,,,2018-01-29,,,,
337,,,2018-01-26,,,,
338,,,2018-01-25,,,,
339,,,2018-01-24,,,,
340,,,2018-01-23,,,,
341,,,2018-01-22,,,,
342,,,2018-01-19,,,,
343,,,2018-01-18,,,,
344,,,2018-01-17,,,,
345,,,2018-01-16,,,,
346,,,2018-01-12,,,,
347,,,2018-01-11,,,,
348,,,2018-01-10,,,,
349,,,2018-01-09,,,,
350,,,2018-01-08,,,,
351,,,2018-01-05,,,,
352,,,2018-01-04,,,,
353,,,2018-01-03,,,,
354,,,2018-01-02,,,,
355,,,2017-12-29,,,,
356,,,2017-12-28,,,,
357,,,2017-12-27,,,,
358,,,2017-12-26,,,,
359,,,2017-12-22,,,,
360,,,2017-12-21,,,,
361,,,2017-12-20,,,,
362,,,2017-12-19,,,,
363,,,2017-12-18,,,,
364,,,2017-12-15,,,,
365,,,2017-12-14,,,,
366,,,2017-12-13,,,,
367,,,2017-12-12,,,,
368,,,2017-12-11,,,,
369,,,2017-12-08,,,,
370,,,2017-12-07,,,,
371,,,2017-12-06,,,,
372,,,2017-12-05,,,,
373,,,2017-12-04,,,,
374,,,2017-12-01,,,,
375,,,2017-11-30,,,,
376,,,2017-11-29,,,,
377,,,2017-11-28,,,,
378,,,2017-11-27,,,,
379,,,2017-11-24,,,,
380,,,2017-11-22,,,,
381,,,2017-11-21,,,,
382,,,2017-11-20,,,,
383,,,2017-11-17,,,,
384,,,2017-11-16,,,,
385,,,2017-11-15,,,,
386,,,2017-11-14,,,,
387,,,2017-11-13,,,,
388,,,2017-11-10,,,,
389,,,2017-11-09,,,,
390,,,2017-11-08,,,,
391,,,2017-11-07,,,,
392,,,2017-11-06,,,,
393,,,2017-11-03,,,,
394,,,2017-11-02,,,,
395,,,2017-11-01,,,,
396,,,2017-10-31,,,,
397,,,2017-10-30,,,,
398,,,2017-10-27,,,,
399,,,2017-10-26,,,,
400,,,2017-10-25,,,,
401,,,2017-10-24,,,,
402,,,2017-10-23,,,,
403,,,2017-10-20,,,,
404,,,2017-10-19,,,,
405,,,2017-10-18,,,,
406,,,2017-10-17,,,,
407,,,2017-10-16,,,,
408,,,2017-10-13,,,,
409,,,2017-10-12,,,,
410,,,2017-10-11,,,,
411,,,2017-10-10,,,,
412,,,2017-10-09,,,,
413,,,2017-10-06,,,,
414,,,2017-10-05,,,,
415,,,2017-10-04,,,,
416,,,2017-10-03,,,,
417,,,2017-10-02,,,,
418,,,2017-09-29,,,,
419,,,2017-09-28,,,,
420,,,2017-09-27,,,,
421,,,2017-09-26,,,,
422,,,2017-09-25,,,,
423,,,2017-09-22,,,,
424,,,2017-09-21,,,,
425,,,2017-09-20,,,,
426,,,2017-09-19,,,,
427,,,2017-09-18,,,,
428,,,2017-09-15,,,,
429,,,2017-09-14,,,,
430,,,2017-09-13,,,,
431,,,2017-09-12,,,,
432,,,2017-09-11,,,,
433,,,2017-09-08,,,,
434,,,2017-09-07,,,,
435,,,2017-09-06,,,,
436,,,2017-09-05,,,,
437,,,2017-09-01,,,,
438,,,2017-08-31,,,,
439,,,2017-08-30,,,,
440,,,2017-08-29,,,,
441,,,2017-08-28,,,,
442,,,2017-08-25,,,,
443,,,2017-08-24,,,,
444,,,2017-08-23,,,,
445,,,2017-08-22,,,,
446,,,2017-08-21,,,,
447,,,2017-08-18,,,,
448,,,2017-08-17,,,,
449,,,2017-08-16,,,,
450,,,2017-08-15,,,,
451,,,2017-08-14,,,,
452,,,2017-08-11,,,,
453,,,2017-08-10,,,,
454,,,2017-08-09,,,,
455,,,2017-08-08,,,,
456,,,2017-08-07,,,,
457,,,2017-08-04,,,,
458,,,2017-08-03,,,,
459,,,2017-08-02,,,,
460,,,2017-08-01,,,,
461,,,2017-07-31,,,,
462,,,2017-07-28,,,,
463,,,2017-07-27,,,,
464,,,2017-07-26,,,,
465,,,2017-07-25,,,,
466,,,2017-07-24,,,,
467,,,2017-07-21,,,,
468,,,2017-07-20,,,,
469,,,2017-07-19,,,,
470,,,2017-07-18,,,,
471,,,2017-07-17,,,,
472,,,2017-07-14,,,,
473,,,2017-07-13,,,,
474,,,2017-07-12,,,,
475,,,2017-07-11,,,,
476,,,2017-07-10,,,,
477,,,2017-07-07,,,,
478,,,2017-07-06,,,,
479,,,2017-07-05,,,,
480,,,2017-07-03,,,,
481,,,2017-06-30,,,,
482,,,2017-06-29,,,,
483,,,2017-06-28,,,,
484,,,2017-06-27,,,,
485,,,2017-06-26,,,,
486,,,2017-06-23,,,,
487,,,2017-06-22,,,,
488,,,2017-06-21,,,,
489,,,2017-06-20,,,,
490,,,2017-06-19,,,,
491,,,2017-06-16,,,,
492,,,2017-06-15,,,,
493,,,2017-06-14,,,,
494,,,2017-06-13,,,,
495,,,2017-06-12,,,,
496,,,2017-06-09,,,,
497,,,2017-06-08,,,,
498,,,2017-06-07,,,,
499,,,2017-06-06,,,,
500,,,2017-06-05,,,,
501,,,2017-06-02,,,,
502,,,2017-06-01,,,,
503,,,2017-05-31,,,,
504,,,2017-05-30,,,,
505,,,2017-05-26,,,,
506,,,2017-05-25,,,,
507,,,2017-05-24,,,,
508,,,2017-05-23,,,,
509,,,2017-05-22,,,,
510,,,2017-05-19,,,,
511,,,2017-05-18,,,,
512,,,2017-05-17,,,,
513,,,2017-05-16,,,,
514,,,2017-05-15,,,,
515,,,2017-05-12,,,,
516,,,2017-05-11,,,,
517,,,2017-05-10,,,,
518,,,2017-05-09,,,,
519,,,2017-05-08,,,,
520,,,2017-05-05,,,,
521,,,2017-05-04,,,,
522,,,2017-05-03,,,,
523,,,2017-05-02,,,,
524,,,2017-05-01,,,,
525,,,2017-04-28,,,,
526,,,2017-04-27,,,,
527,,,2017-04-26,,,,
528,,,2017-04-25,,,,
529,,,2017-04-24,,,,
530,,,2017-04-21,,,,
531,,,2017-04-20,,,,
532,,,2017-04-19,,,,
533,,,2017-04-18,,,,
534,,,2017-04-17,,,,
535,,,2017-04-13,,,,
536,,,2017-04-12,,,,
537,,,2017-04-11,,,,
538,,,2017-04-10,,,,
539,,,2017-04-07,,,,
540,,,2017-04-06,,,,
541,,,2017-04-05,,,,
542,,,2017-04-04,,,,
543,,,2017-04-03,,,,
544,,,2017-03-31,,,,
545,,,2017-03-30,,,,
546,,,2017-03-29,,,,
547,,,2017-03-28,,,,
548,,,2017-03-27,,,,
549,,,2017-03-24,,,,
550,,,2017-03-23,,,,
551,,,2017-03-22,,,,
552,,,2017-03-21,,,,
553,,,2017-03-20,,,,
554,,,2017-03-17,,,,
555,16.0,16.0,2017-03-16,16.0,16.0,16.0,0.0
556,,,2017-03-15,,,,
557,,,2017-03-14,,,,
558,,,2017-03-13,,,,
559,16.0,16.0,2017-03-10,16.0,16.0,16.0,0.0
560,,,2017-03-09,,,,
561,,,2017-03-08,,,,
562,16.0,16.0,2017-03-07,16.0,16.0,16.0,0.0
563,,,2017-03-06,,,,
564,,,2017-03-03,,,,
565,16.0,16.0,2017-03-02,16.0,16.0,16.0,0.0
566,,,2017-03-01,,,,
567,,,2017-02-28,,,,
568,,,2017-02-27,,,,
569,,,2017-02-24,,,,
570,16.0,16.0,2017-02-23,16.0,16.0,16.0,0.0
571,16.0,16.0,2017-02-22,16.0,16.0,16.0,0.0
572,,,2017-02-21,,,,
573,,,2017-02-17,,,,
574,,,2017-02-16,,,,
575,,,2017-02-15,,,,
576,16.0,16.0,2017-02-14,16.0,16.0,16.0,0.0
577,,,2017-02-13,,,,
578,,,2017-02-10,,,,
579,,,2017-02-09,,,,
580,,,2017-02-08,,,,
581,,,2017-02-07,,,,
582,,,2017-02-06,,,,
583,,,2017-02-03,,,,
584,16.0,16.0,2017-02-02,16.0,16.0,16.0,0.0
585,,,2017-02-01,,,,
586,,,2017-01-31,,,,
587,,,2017-01-30,,,,
588,,,2017-01-27,,,,
589,,,2017-01-26,,,,
590,,,2017-01-25,,,,
591,,,2017-01-24,,,,
592,,,2017-01-23,,,,
593,16.0,16.0,2017-01-20,16.0,16.0,16.0,0.0
594,16.0,16.0,2017-01-19,16.0,16.0,16.0,0.0
595,,,2017-01-18,,,,
596,,,2017-01-17,,,,
597,16.0,16.0,2017-01-13,16.0,16.0,16.0,0.0
598,16.0,16.0,2017-01-12,16.0,16.0,16.0,0.0
599,,,2017-01-11,,,,
600,16.0,16.0,2017-01-10,16.0,16.0,16.0,0.0
601,16.0,16.0,2017-01-09,16.0,16.0,16.0,0.0
602,,,2017-01-06,,,,
603,,,2017-01-05,,,,
604,16.0,16.0,2017-01-04,16.0,16.0,16.0,0.0
605,,,2017-01-03,,,,
606,,,2016-12-30,,,,
607,,,2016-12-29,,,,
608,,,2016-12-28,,,,
609,16.0,16.0,2016-12-27,16.0,16.0,16.0,0.0
610,,,2016-12-23,,,,
611,16.0,16.0,2016-12-22,16.0,16.0,16.0,0.0
612,,,2016-12-21,,,,
613,,,2016-12-20,,,,
614,16.0,16.0,2016-12-19,16.0,16.0,16.0,0.0
615,,,2016-12-16,,,,
616,,,2016-12-15,,,,
617,,,2016-12-14,,,,
618,16.0,16.0,2016-12-13,16.0,16.0,16.0,0.0
619,16.0,16.0,2016-12-12,16.0,16.0,16.0,0.0
620,,,2016-12-09,,,,
621,,,2016-12-08,,,,
622,,,2016-12-07,,,,
623,,,2016-12-06,,,,
624,,,2016-12-05,,,,
625,,,2016-12-02,,,,
626,,,2016-12-01,,,,
627,16.0,16.0,2016-11-30,16.0,16.0,16.0,0.0
628,16.0,16.0,2016-11-29,16.0,16.0,16.0,0.0
629,16.0,16.0,2016-11-28,16.0,16.0,16.0,0.0
630,16.0,16.0,2016-11-25,16.0,16.0,16.0,0.0
631,16.0,16.0,2016-11-23,16.0,16.0,16.0,0.0
632,,,2016-11-22,,,,
633,,,2016-11-21,,,,
634,,,2016-11-18,,,,
635,,,2016-11-17,,,,
636,,,2016-11-16,,,,
637,,,2016-11-15,,,,
638,,,2016-11-14,,,,
639,,,2016-11-11,,,,
640,,,2016-11-10,,,,
641,,,2016-11-09,,,,
642,,,2016-11-08,,,,
643,,,2016-11-07,,,,
644,,,2016-11-04,,,,
645,16.0,16.0,2016-11-03,16.0,16.0,16.0,0.0
646,,,2016-11-02,,,,
647,,,2016-11-01,,,,
648,,,2016-10-31,,,,
649,16.0,16.0,2016-10-28,16.0,16.0,16.0,0.0
650,,,2016-10-27,,,,
651,,,2016-10-26,,,,
652,,,2016-10-25,,,,
653,,,2016-10-24,,,,
654,,,2016-10-21,,,,
655,16.0,16.0,2016-10-20,16.0,16.0,16.0,0.0
656,,,2016-10-19,,,,
657,16.0,16.0,2016-10-18,16.0,16.0,16.0,0.0
658,16.0,16.0,2016-10-17,16.0,16.0,16.0,0.0
659,,,2016-10-14,,,,
660,,,2016-10-13,,,,
661,16.0,16.0,2016-10-12,16.0,16.0,16.0,0.0
662,,,2016-10-11,,,,
663,,,2016-10-10,,,,
664,,,2016-10-07,,,,
665,,,2016-10-06,,,,
666,,,2016-10-05,,,,
667,,,2016-10-04,,,,
668,16.0,16.0,2016-10-03,16.0,16.0,16.0,0.0
669,,,2016-09-30,,,,
670,,,2016-09-29,,,,
671,,,2016-09-28,,,,
672,,,2016-09-27,,,,
673,,,2016-09-26,,,,
674,,,2016-09-23,,,,
675,,,2016-09-22,,,,
676,,,2016-09-21,,,,
677,,,2016-09-20,,,,
678,,,2016-09-19,,,,
679,,,2016-09-16,,,,
680,,,2016-09-15,,,,
681,,,2016-09-14,,,,
682,,,2016-09-13,,,,
683,16.0,16.0,2016-09-12,16.0,16.0,16.0,0.0
684,,,2016-09-09,,,,
685,,,2016-09-08,,,,
686,16.0,16.0,2016-09-07,16.0,16.0,16.0,0.0
687,,,2016-09-06,,,,
688,,,2016-09-02,,,,
689,,,2016-09-01,,,,
690,16.0,16.0,2016-08-31,16.0,16.0,16.0,0.0
691,,,2016-08-30,,,,
692,,,2016-08-29,,,,
693,,,2016-08-26,,,,
694,,,2016-08-25,,,,
695,,,2016-08-24,,,,
696,,,2016-08-23,,,,
697,,,2016-08-22,,,,
698,,,2016-08-19,,,,
699,,,2016-08-18,,,,
700,,,2016-08-17,,,,
701,,,2016-08-16,,,,
702,16.0,16.0,2016-08-15,16.0,16.0,16.0,0.0
703,,,2016-08-12,,,,
704,,,2016-08-11,,,,
705,,,2016-08-10,,,,
706,,,2016-08-09,,,,
707,,,2016-08-08,,,,
708,,,2016-08-05,,,,
709,,,2016-08-04,,,,
710,,,2016-08-03,,,,
711,,,2016-08-02,,,,
712,,,2016-08-01,,,,
713,,,2016-07-29,,,,
714,,,2016-07-28,,,,
715,,,2016-07-27,,,,
716,,,2016-07-26,,,,
717,,,2016-07-25,,,,
718,,,2016-07-22,,,,
719,,,2016-07-21,,,,
720,,,2016-07-20,,,,
721,16.0,16.0,2016-07-19,16.0,16.0,16.0,0.0
722,16.0,16.0,2016-07-18,16.0,16.0,16.0,0.0
723,16.0,16.0,2016-07-15,16.0,16.0,16.0,0.0
724,,,2016-07-14,,,,
725,16.0,16.0,2016-07-13,16.0,16.0,16.0,0.0
726,,,2016-07-12,,,,
727,,,2016-07-11,,,,
728,16.0,16.0,2016-07-08,16.0,16.0,16.0,0.0
729,16.0,16.0,2016-07-07,16.0,16.0,16.0,0.0
730,16.0,16.0,2016-07-06,16.0,16.0,16.0,0.0
731,,,2016-07-05,,,,
732,,,2016-07-01,,,,
733,,,2016-06-30,,,,
734,,,2016-06-29,,,,
735,,,2016-06-28,,,,
736,,,2016-06-27,,,,
737,,,2016-06-24,,,,
738,,,2016-06-23,,,,
739,16.0,16.0,2016-06-22,16.0,16.0,16.0,0.0
740,,,2016-06-21,,,,
741,,,2016-06-20,,,,
742,,,2016-06-17,,,,
743,,,2016-06-16,,,,
744,,,2016-06-15,,,,
745,16.0,16.0,2016-06-14,16.0,16.0,16.0,0.0
746,,,2016-06-13,,,,
747,,,2016-06-10,,,,
748,16.0,16.0,2016-06-09,16.0,16.0,16.0,0.0
749,,,2016-06-08,,,,
750,16.0,16.0,2016-06-07,16.0,16.0,16.0,0.0
751,16.0,16.0,2016-06-06,16.0,16.0,16.0,0.0
752,,,2016-06-03,,,,
753,16.0,16.0,2016-06-02,16.0,16.0,16.0,0.0
754,,,2016-06-01,,,,
755,,,2016-05-31,,,,
756,,,2016-05-27,,,,
757,,,2016-05-26,,,,
758,,,2016-05-25,,,,
759,,,2016-05-24,,,,
760,,,2016-05-23,,,,
761,,,2016-05-20,,,,
762,,,2016-05-19,,,,
763,16.0,16.0,2016-05-18,16.0,16.0,16.0,0.0
764,16.0,16.0,2016-05-17,16.0,16.0,16.0,0.0
765,16.0,16.0,2016-05-16,16.0,16.0,16.0,0.0
766,,,2016-05-13,,,,
767,,,2016-05-12,,,,
768,16.0,16.0,2016-05-11,16.0,16.0,16.0,0.0
769,16.0,16.0,2016-05-10,16.0,16.0,16.0,0.0
770,,,2016-05-09,,,,
771,,,2016-05-06,,,,
772,16.0,16.0,2016-05-05,16.0,16.0,16.0,0.0
773,16.0,16.0,2016-05-04,16.0,16.0,16.0,0.0
774,16.0,16.0,2016-05-03,16.0,16.0,16.0,0.0
775,,,2016-05-02,,,,
776,16.0,16.0,2016-04-29,16.0,16.0,16.0,0.0
777,16.0,16.0,2016-04-28,16.0,16.0,16.0,0.0
778,,,2016-04-27,,,,
779,,,2016-04-26,,,,
780,16.0,16.0,2016-04-25,16.0,16.0,16.0,0.0
781,16.0,16.0,2016-04-22,16.0,16.0,16.0,0.0
782,,,2016-04-21,,,,
783,,,2016-04-20,,,,
784,,,2016-04-19,,,,
785,,,2016-04-18,,,,
786,,,2016-04-15,,,,
787,,,2016-04-14,,,,
788,,,2016-04-13,,,,
789,16.0,16.0,2016-04-12,16.0,16.0,16.0,0.0
790,16.0,16.0,2016-04-11,16.0,16.0,16.0,0.0
791,,,2016-04-08,,,,
792,,,2016-04-07,,,,
793,16.0,16.0,2016-04-06,16.0,16.0,16.0,0.0
794,16.0,16.0,2016-04-05,16.0,16.0,16.0,0.0
795,,,2016-04-04,,,,
796,,,2016-04-01,,,,
797,16.0,16.0,2016-03-31,16.0,16.0,16.0,0.0
798,,,2016-03-30,,,,
799,,,2016-03-29,,,,
800,,,2016-03-28,,,,
801,,,2016-03-24,,,,
802,16.0,16.0,2016-03-23,16.0,16.0,16.0,0.0
803,,,2016-03-22,,,,
804,16.0,16.0,2016-03-21,16.0,16.0,16.0,0.0
805,,,2016-03-18,,,,
806,16.0,16.0,2016-03-17,16.0,16.0,16.0,0.0
807,,,2016-03-16,,,,
808,16.0,16.0,2016-03-15,16.0,16.0,16.0,0.0
809,,,2016-03-14,,,,
810,,,2016-03-11,,,,
811,,,2016-03-10,,,,
812,,,2016-03-09,,,,
813,,,2016-03-08,,,,
814,,,2016-03-07,,,,
815,,,2016-03-04,,,,
816,,,2016-03-03,,,,
817,,,2016-03-02,,,,
818,16.0,16.0,2016-03-01,16.0,16.0,16.0,0.0
819,,,2016-02-29,,,,
820,,,2016-02-26,,,,
821,16.0,16.0,2016-02-25,16.0,16.0,16.0,0.0
822,,,2016-02-24,,,,
823,,,2016-02-23,,,,
824,,,2016-02-22,,,,
825,16.0,16.0,2016-02-19,16.0,16.0,16.0,0.0
826,,,2016-02-18,,,,
827,,,2016-02-17,,,,
828,,,2016-02-16,,,,
829,,,2016-02-12,,,,
830,,,2016-02-11,,,,
831,,,2016-02-10,,,,
832,,,2016-02-09,,,,
833,16.0,16.0,2016-02-08,16.0,16.0,16.0,0.0
834,,,2016-02-05,,,,
835,,,2016-02-04,,,,
836,,,2016-02-03,,,,
837,,,2016-02-02,,,,
838,,,2016-02-01,,,,
839,,,2016-01-29,,,,
840,,,2016-01-28,,,,
841,,,2016-01-27,,,,
842,,,2016-01-26,,,,
843,,,2016-01-25,,,,
844,16.0,16.0,2016-01-22,16.0,16.0,16.0,0.0
845,16.0,16.0,2016-01-21,16.0,16.0,16.0,0.0
846,16.0,16.0,2016-01-20,16.0,16.0,16.0,0.0
847,,,2016-01-19,,,,
848,,,2016-01-15,,,,
849,,,2016-01-14,,,,
850,,,2016-01-13,,,,
851,16.0,16.0,2016-01-12,16.0,16.0,16.0,0.0
852,0.004000000189989805,0.004000000189989805,2016-01-11,0.004000000189989805,0.004000000189989805,0.004000000189989805,0.0
853,0.004000000189989805,0.004000000189989805,2016-01-08,0.004000000189989805,0.004000000189989805,0.004000000189989805,0.0
854,0.004000000189989805,0.004000000189989805,2016-01-07,0.004000000189989805,0.004000000189989805,0.004000000189989805,0.0
855,16.0,16.0,2016-01-06,16.0,16.0,16.0,0.0
856,16.0,16.0,2016-01-05,16.0,16.0,16.0,0.0
857,0.004000000189989805,0.004000000189989805,2016-01-04,0.004000000189989805,0.004000000189989805,0.004000000189989805,0.0
